題目,答案,答對回饋,答錯回饋,提示
請問 2 + 3 等於多少？,5,太棒了！你的心算速度很快！,答錯了，再想想看！,比 4 大一點。
請問 7 + 1 等於多少？,8,完全正確！你真厲害！,不對喔，這是一個很簡單的數字。,數字 7 的下一個整數。
請問 4 + 4 等於多少？,8,雙倍的數字，雙倍的成功！,再數一次，看看是不是 8。,這是一個雙數。
請問 1 + 9 等於多少？,10,完美！恭喜你答對了！,差一點點，再試試看。,這是兩個單位的組合。
請問 6 + 3 等於多少？,9,對了！這是九！,答案是 9，別灰心！,比 10 小一點。
請問 5 + 2 等於多少？,7,答對！五個手指加上兩個手指。,錯誤，請重新計算！,比 6 大一點。
請問 3 + 3 等於多少？,6,雙倍問題又答對了！,答案不對，再仔細看一下。,這是 3 的兩倍。
請問 8 + 1 等於多少？,9,正確，太棒了！,這題不難，仔細想一下。,跟 6 + 3 的結果一樣。
請問 0 + 5 等於多少？,5,答對！零加上任何數都等於它本身。,不對，0 加上任何數都不會改變。,就是 5 本身。
請問 2 + 5 等於多少？,7,答對了！兩個加上五個！,再試試別的答案。,跟 5 + 2 的結果一樣。
